,store,address
241,가산테라타워점,"서울 금천구 디지털로10길 78, 가산테라타워 105호,106호의 일부 "
242,선정릉역1번출구점,"서울 강남구 봉은사로51길 5, 1층 A03호 "
243,가산아이에스비즈타워점,"서울특별시 금천구 가산디지털1로 75-24, 102호(가산동, 가산 아이에스비즈타워) "
244,잠실나루역점,"서울특별시 송파구 올림픽로37길 130 A상가동 1층 162호(신천동, 파크리오) "
245,가산IT프리미어타워점,"서울특별시 금천구 가산디지털1로 88, 1층 102-2호(가산동, IT프리미어타워) "
246,논현아이파크점,"서울특별시 강남구 언주로 615, 103동 지하1층 B122호(논현동, 논현아이파크) "
247,봉은사역점,"서울특별시 강남구 영동대로112길 9, 지상1층 3호(삼성동) "
248,대륭19차점,"서울특별시 금천구 가산디지털2로 70, 1층 101호(가산동, 대륭테크노타운19차) "
249,에이스하이엔드타워6차점,"서울특별시 금천구 벚꽃로 234, 1층 110호(가산동, 에이스하이엔드타워6차) "
250,숭실대점,"서울특별시 동작구 사당로 24, 1층(상도동) "
251,가산반도아이비밸리점,"서울특별시 금천구 가산디지털로 204, 1층 105호(가산동) "
252,에이스가산타워점,"서울특별시 금천구 디지털로 121, 1층 103호(가산동, 에이스가산타워) "
253,학동점,"서울시 강남구 언주로 125길 8, 지상1층 104호 "
254,논현역점,"서울특별시 강남구 학동로2길 6, 1층 104호(논현동) "
255,구로대진월드타워점,"서울특별시 구로구 시흥대로163길 25,102호(구로동, 대진월드Ⅰ) "
256,한라원앤원타워점,"서울특별시 금천구 가산디지털2로 101, 1층 118호(가산동) "
257,잠원논현역점,"서울특별시 서초구 신반포로47길 9-21, 101호(잠원동, 원진빌딩) "
258,갑을그레이트밸리점,"서울특별시 금천구 디지털로9길 32, 1층 108호(가산동, 갑을그레이트밸리) "
259,가산스카이밸리1차점,"서울특별시 금천구 가산디지털1로 142, 1층 129호(가산동, 가산 더스카이밸리 1차) "
260,경산중산점,"경상북도 경산시 경산로 267, 1층(중산동) "
261,둔촌동점,"서울특별시 강동구 양재대로102가길, 7 1층(둔촌동) "
262,숭실대입구역점,"서울특별시 동작구 상도로62길 69, 1층(상도동, 라온) "
263,가산SJ테크노빌점,"서울특별시 금천구 벚꽃로 278, 1층 104호(가산동, SJ테크노빌) "
264,강남구청점,"서울특별시 강남구 선릉로129길 11, 101호(논현동) "
265,하남시청점,"경기도 하남시 대청로 26, 1층 102호의 일부호(신장동, 하남리빙텔) "
266,구로디지털중앙점,"서울특별시 구로구 디지털로30길 31, 1층 103호(구로동, 코오롱디지털타워빌란트2차) "
267,강동구청점,"서울특별시 강동구 성내로3가길 27, 1층 101호(성내동, 성내 퍼스트초이스) "
268,학동역사거리점,"서울 강남구 논현로131길 12, B1층 "
269,보라매대교점,"서울 동작구 보라매로3길 29, 해태보라매타워 1층 12호  "
270,대륭포스트5차점,"서울특별시 금천구 디지털로9길 68, 1층 112~113호(가산동, 대흉포스트타워 5차) "
271,휴포레점,"서울특별시 동작구 시흥대로 606, 상가1층 110호(신대방동, 동작 협성휴포레 시그니처) "
272,보라매공원점,"서울 동작구 보라매로5길 43, 보라매삼성쉐르빌아파트 1층 105호 "
273,구로디지털단지점,"서울특별시 구로구 디지털로32나길 17-45, 1층 101호(구로동, 오피스텔미래지오) "
274,가산디지털단지역점,"서울특별시 금천구 벚꽃로 298, 1층 104-2호(가산동, 대륭포스트타워6차) "
275,구로에이스테크노타워3차점,"서울특별시 구로구 디지털로29길, 38, 103호(구로동, 에이스테크노타워 III) "
276,가산먹거리촌점,"서울시 금천구 가산디지털2로 140, 지상1층 일부호(가산동) "
277,성내점,"서울특별시 강동구 풍성로 95, 1층 101호(성내동) "
278,가산W센터점,"서울특별시 금천구 가산디지털1로 181, 1층 110호(가산동, 가산 더블유센터) "
279,BYC사옥점,서울 영등포구 대림동 1005-3 (준공 전이라 구주소 입력) 
